date,meantemp,humidity,wind_speed,meanpressure
2017-01-01,15.9130434782609,85.8695652173913,2.74347826086957,59
2017-01-02,18.5,77.2222222222222,2.89444444444444,1018.27777777778
2017-01-03,17.1111111111111,81.8888888888889,4.01666666666667,1018.33333333333
2017-01-04,18.7,70.05,4.545,1015.7
2017-01-05,18.3888888888889,74.9444444444444,3.3,1014.33333333333
2017-01-06,19.3181818181818,79.3181818181818,8.68181818181818,1011.77272727273
2017-01-07,14.7083333333333,95.8333333333333,10.0416666666667,1011.375
2017-01-08,15.6842105263158,83.5263157894737,1.95,1015.55
2017-01-09,14.5714285714286,80.8095238095238,6.54285714285714,1015.95238095238
2017-01-10,12.1111111111111,71.9444444444444,9.36111111111111,1016.88888888889
2017-01-11,11,72.1111111111111,9.77222222222222,1016.77777777778
2017-01-12,11.7894736842105,,,
2017-01-13,13.2352941176471,,,
2017-01-14,13.2,,,
2017-01-15,16.4347826086957,,,
2017-01-16,14.65,,,
2017-01-17,11.7222222222222,,,
2017-01-18,13.0416666666667,,,
2017-01-19,14.6190476190476,75.1428571428571,10.3380952380952,1022.80952380952
2017-01-20,15.2631578947368,66.4736842105263,11.2263157894737,1021.78947368421
2017-01-21,15.3913043478261,70.8695652173913,13.695652173913,1020.47826086957
2017-01-22,18.44,76.24,5.868,1021.04
2017-01-23,18.1176470588235,76,6.75294117647059,1019.82352941176
2017-01-24,18.3478260869565,68.1304347826087,3.39130434782609,1018.86956521739
2017-01-25,21,69.96,8.756,1018.4
2017-01-26,16.1785714285714,91.6428571428571,8.46785714285714,1017.78571428571
2017-01-27,16.5,77.0416666666667,14.3583333333333,1018.125
2017-01-28,14.8636363636364,82.7727272727273,9.69090909090909,1019.63636363636
2017-01-29,15.6666666666667,81.7777777777778,10.2944444444444,1017.38888888889
2017-01-30,16.4444444444444,77.5555555555556,4.32222222222222,1015.83333333333
2017-01-31,16.125,76,4.625,1015.5
2017-02-01,15.25,78.625,5.1,1017.5
2017-02-02,17.0909090909091,66.5454545454545,3.02727272727273,1018.90909090909
2017-02-03,15.6363636363636,78.1818181818182,1.85454545454545,1017.72727272727
2017-02-04,18.7,77.6,9.82,1014.4
2017-02-05,18.6315789473684,77.6315789473684,8.1,1014.21052631579
2017-02-06,16.8888888888889,69.6666666666667,9.04444444444444,1016
2017-02-07,15.125,63.75,7.6375,1016.125
2017-02-08,15.7,68.4,4.08,1015.6
2017-02-09,15.375,68.375,7.875,1016.375
2017-02-10,14.6666666666667,71.7777777777778,9.06666666666667,1015.66666666667
2017-02-11,15.625,64,3.95,1016.625
2017-02-12,16.25,70.375,1.625,1019.625
2017-02-13,16.3333333333333,67,6.37777777777778,1021.55555555556
2017-02-14,16.875,65.5,6.9625,1021.375
2017-02-15,17.5714285714286,67.7142857142857,5.55714285714286,1020.57142857143
2017-02-16,20.25,56.75,10.4375,1017.625
2017-02-17,21.3,64.4,9.28,1016.5
2017-02-18,21.125,70.75,6.25,1016.25
2017-02-19,22.3636363636364,66.0909090909091,6.05454545454546,1013
2017-02-20,23.375,60.125,6.9375,1005.375
2017-02-21,21.8333333333333,69.4166666666667,12.3416666666667,1007.41666666667
2017-02-22,19.125,57.125,7.4125,1012.25
2017-02-23,18.625,42.875,14.35,1015.25
2017-02-24,19.125,40.375,16.6625,1016.125
2017-02-25,19,50.4285714285714,11.9285714285714,1014.28571428571
2017-02-26,18.75,59,11.1125,1012.375
2017-02-27,19.875,58.375,5.1,1014.25
2017-02-28,23.3333333333333,51.6666666666667,3.91111111111111,1013.11111111111
2017-03-01,24.4615384615385,47.9230769230769,6.41538461538462,1012.92307692308
2017-03-02,23.75,54.25,5.93,1012.15
2017-03-03,20.5,42.5,7.4125,1010.625
2017-03-04,19.125,43.125,8.35,1010
2017-03-05,19.75,41.25,9.9625,1010.5
2017-03-06,20,42.4444444444444,9.66666666666666,1010.33333333333
2017-03-07,22.625,41.5,6.025,1007.375
2017-03-08,21.5454545454545,52.7272727272727,10.2636363636364,1008.90909090909
2017-03-09,20.7857142857143,69.0714285714286,8.34285714285714,1007.35714285714
2017-03-10,19.9375,67.75,11.4625,1006.875
2017-03-11,18.5333333333333,60.4,5.56666666666667,1009.8
2017-03-12,17.375,56.625,7.6375,1014.75
2017-03-13,17.4444444444444,49.3333333333333,9.05555555555555,1014.88888888889
2017-03-14,18,56.3333333333333,4.52222222222222,1016.55555555556
2017-03-15,19.875,54.75,7.175,1014.125
2017-03-16,24,49.2,5.56,1011.1
2017-03-17,20.9,59.7,11.49,1010.7
2017-03-18,24.6923076923077,46.3076923076923,7.12307692307692,1009.84615384615
2017-03-19,24.6666666666667,52.2777777777778,9.16111111111111,1011.88888888889
2017-03-20,23.3333333333333,54.6666666666667,10.0777777777778,1012.55555555556
2017-03-21,25,49,9.2625,1011.75
2017-03-22,27.25,45,10.1875,1009.75
2017-03-23,28,49.75,3.4875,1008.875
2017-03-24,28.9166666666667,37.6666666666667,10.0333333333333,1010.58333333333
2017-03-25,26.5,39.375,10.425,1009.875
2017-03-26,29.1,37.1,17.59,1010.2
2017-03-27,29.5,38.625,13.65,1009.5
2017-03-28,29.8888888888889,40.6666666666667,8.84444444444445,1009
2017-03-29,31,34.5,13.2,1007.125
2017-03-30,29.2857142857143,36.8571428571429,10.5857142857143,1007.14285714286
2017-03-31,30.625,37.625,6.95,1007.5
2017-04-01,31.375,35.125,9.0375,1005
2017-04-02,,,,1004.25
2017-04-03,,,,1004.25
2017-04-04,,,,1007.2
2017-04-05,,,,1005
2017-04-06,,,,1002.88888888889
2017-04-07,,,,1007.375
2017-04-08,,,,1010.375
2017-04-09,,,,1010.625
2017-04-10,,,,1008.57142857143
2017-04-11,29.25,17.75,15.5125,1006.25
2017-04-12,29.25,26,9.4875,1005.875
2017-04-13,29.6666666666667,29.1111111111111,4.94444444444444,1006.77777777778
2017-04-14,30.5,37.625,1.3875,1004.625
2017-04-15,31.2222222222222,30.4444444444444,5.96666666666667,1002.44444444444
2017-04-16,31,34.25,2.1,1003.25
2017-04-17,32.5555555555556,38.4444444444444,5.36666666666667,1004.44444444444
2017-04-18,34,27.3333333333333,7.81111111111111,1003.11111111111
2017-04-13,29.6666666666667,29.1111111111111,4.94444444444444,1006.77777777778
2017-04-14,30.5,37.625,1.3875,1004.625
2017-04-15,31.2222222222222,30.4444444444444,5.96666666666667,1002.44444444444
2017-04-22,32.9,40.9,8.89,1001.6
2017-04-23,32.875,27.5,9.9625,1002.125
2017-04-24,32,27.1428571428571,12.1571428571429,1004.14285714286
